"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
159,1,23409.78789,21200.47448,158.90058,305.79638,7.50401,0.64418,14.18542
160,1,23644.32955,53352.1096,155.86851,341.62113,8.65698,1.04984,13.78719
161,1,23486.11618,59665.90121,240.33132,619.54768,11.23024,4.6472,26.2528
162,1,23973.83166,7229.84521,149.98652,181.0978,4.52942,0.46708,17.28457
163,1,24365.59511,42019.54084,170.10322,215.88696,7.39139,0.41272,17.74138
164,1,24472.4567,54179.37622,185.89393,210.30291,10.5102,0.63985,20.5878
165,1,24732.76227,59112.77912,188.80648,142.26407,10.20513,0.99367,28.53349
166,1,25015.13052,13480.85212,143.45289,166.29964,4.83806,0.43652,17.2053
167,1,24989.48902,78923.28216,211.5822,53.21286,4.92912,0.20464,44.86497
168,1,25150.16511,40596.88644,179.32444,288.66867,8.33492,0.67779,16.70999
169,1,25559.97652,54373.84098,215.94977,365.274,8.98586,3.42319,28.39124
170,1,25661.92313,29551.94225,166.46495,449.81102,10.09305,1.02362,12.63149
171,1,25616.87484,62521.20507,185.33773,123.83924,6.94648,0.30173,25.53084
172,1,25775.59321,57887.91937,207.19121,212.16757,8.33914,0.6751,23.24903
173,1,25860.38642,72367.37394,212.58974,131.91396,6.35847,0.3842,29.12223
174,1,26286.28253,12152.9228,136.78069,288.73931,5.36717,0.70782,12.64032
175,1,26441.33458,23216.40937,164.52319,367.94542,7.98125,1.04824,14.01383
176,1,26574.21832,50730.47752,159.38938,257.77895,8.33817,1.22209,17.05864
177,1,26692.08026,29081.67576,162.80667,942.7028,13.18682,9.34743,15.68768
178,1,26688.34857,61233.1886,200.47733,186.35755,7.92401,0.48056,23.12717
179,1,26698.73602,74441.46724,211.25985,80.31006,5.70058,0.27358,36.73856
180,1,27207.77321,51428.01027,154.64585,460.10652,10.22297,0.93586,11.42026
181,1,27607.66552,8633.58514,153.7521,773.34928,7.52614,1.9129,9.29072
182,1,27658.03612,33279.42666,145.64049,588.57056,8.78198,1.18562,9.59371
183,1,27706.63682,41713.31423,146.80975,264.70069,7.18204,0.49757,13.86569
184,1,27693.01498,48950.09263,155.21228,316.00861,8.22028,0.80489,13.88643
185,1,27784.87083,50128.07777,155.44287,472.19693,9.95131,0.79884,11.15618
186,1,27854.83421,80096.00455,171.87819,165.93378,5.31955,0.35989,20.44608
187,1,28065.35504,3718.26735,146.61535,123.79145,3.94192,0.31099,20.13768
188,1,28138.16375,19545.4443,137.70971,446.45011,7.83343,2.29238,11.81952
189,1,28264.22384,7033.53427,149.21809,655.85676,7.52811,1.82713,9.81903
190,1,28267.02208,67407.49656,195.77175,166.47148,6.53381,0.37882,23.45999
191,1,28390.16736,38397.31218,176.85061,343.22658,8.89448,0.72016,15.05864
192,1,28507.06331,35713.40129,156.50503,1064.11496,11.54157,2.7971,8.42103
193,1,28759.16381,20201.11623,142.44286,170.54822,8.89728,3.52069,28.10823
194,1,28752.61786,34044.61976,138.90837,329.52436,10.31983,3.31779,16.32721
195,1,28721.32406,70855.50169,168.13563,260.91862,6.29482,0.40478,15.83197
196,1,29269.57068,59811.49997,199.2288,138.78093,7.02102,0.40501,26.55656
197,1,29294.55743,34605.16047,132.83232,171.84886,11.14127,4.93491,30.80313
198,1,29542.54625,26879.71448,217.99624,658.32959,7.59587,4.58468,21.41995
199,1,29730.90326,65645.23003,189.64235,148.8965,6.58721,0.40115,24.22476
200,1,29912.18053,11233.3839,133.89171,151.11621,4.85605,0.3581,16.68439
201,1,29790.02174,55244.34211,161.2147,965.29665,10.86648,1.75966,8.50475
202,1,30048.16165,49862.06194,156.04514,581.17346,9.45959,0.95712,10.16481
203,1,30227.70007,31583.72034,170.17152,353.40166,8.12511,0.73866,14.26244
204,1,30246.65488,22503.72363,141.99434,433.25624,7.14538,0.87803,10.73459
205,1,30467.63973,15064.92209,135.61256,195.41818,4.9189,0.46906,14.98754
206,1,30659.4248,41901.44471,150.12143,487.92984,7.80262,1.01504,10.80674
207,1,30923.89525,38452.59852,151.40729,809.80846,10.33648,2.22598,9.12815
208,1,31131.8617,9866.82393,135.77566,185.93098,4.90652,0.47065,15.41282
209,1,31320.76257,67438.32002,211.35184,262.26417,8.21554,0.56432,20.61393
210,1,31406.28386,58544.58278,204.56787,181.16722,6.8726,0.49729,24.098
211,1,32280.02609,18552.55328,337.11818,817.03947,3.42936,10.18873,67.29304
212,1,32019.35005,48896.38141,152.12049,506.57605,8.97247,1.08223,10.80723
213,1,32059.72631,77266.64159,223.83017,228.82166,6.54902,0.58622,23.79547
214,1,32259.23253,36515.92137,165.35212,239.73503,7.80107,0.4483,16.38699
215,1,32332.51782,23936.5467,138.76517,380.50057,6.97219,0.84581,11.21415
216,1,32405.41506,26296.98659,144.30321,677.7817,8.92536,1.89675,9.3408
217,1,32346.49195,66681.38224,164.10038,244.68429,7.51304,0.59416,16.44457
218,1,32404.34918,73161.0149,166.03629,198.71536,6.16571,0.39329,18.03049
219,1,32412.78957,18564.7654,271.3225,564.12622,4.97411,9.48516,59.87336
220,1,32668.79518,10264.94254,146.17616,313.65732,5.09252,0.61409,12.79198
221,1,33161.0326,49947.63252,186.35631,447.90241,10.85126,1.01725,14.30361
222,1,33386.53647,32821.83561,138.36975,246.42667,8.38977,2.01856,16.71797
223,1,33594.36823,73705.93202,226.1877,137.26083,6.29457,0.39186,30.52996
224,1,34275.81544,26664.5557,139.66268,380.32667,7.45912,0.7381,11.16334
225,1,34308.91448,33139.11201,177.42165,645.44539,10.58748,1.48434,11.61437
226,1,34507.97692,49313.35865,176.59347,338.75458,9.62919,0.71093,15.12457
227,1,34564.7002,28196.39896,165.66993,399.62785,8.23978,0.69219,12.8909
228,1,34569.26396,52876.83278,193.57185,192.16175,7.80324,0.4841,21.91912
229,1,34624.32316,70870.91438,164.93924,312.46488,6.75306,0.48073,14.25811
230,1,34731.03049,68072.24379,208.78549,196.71477,7.44257,0.4473,23.27777
231,1,34980.11799,37725.00065,148.26875,567.20196,8.29898,1.09465,9.89375
232,1,34901.85893,64367.59084,190.7979,185.35286,8.75707,0.86741,23.88981
233,1,35159.97018,79564.57192,358.28597,607.88646,3.72565,3.32962,40.9011
234,1,35234.91274,65850.86398,189.25102,410.69957,9.32875,3.08779,20.52916
235,1,35211.52574,78143.2523,208.72259,113.55367,6.11934,0.40385,31.20112
236,1,35627.72111,22153.41966,162.06952,222.85982,6.49738,0.4066,16.58491
237,1,35884.13106,65117.83943,211.28515,202.37514,9.32318,2.06061,33.32696
238,1,36217.95425,41190.66352,176.21306,940.71506,14.11844,2.0397,9.75996
239,1,36198.03335,81378.95513,169.14722,159.85252,5.58193,0.31058,20.32704
240,1,36334.70549,4552.1579,144.54013,109.21638,3.78496,0.26701,21.03167
241,1,36929.66516,46308.15235,179.43988,221.24333,9.2793,1.59235,23.00256
242,1,36885.91908,51818.64809,150.51519,449.77251,7.98901,0.68793,10.95301
243,1,36788.07501,40984.6571,408.2674,678.81415,5.74712,3.25055,45.45249
244,1,37287.38635,19640.46876,155.88429,257.29372,7.18355,0.86551,15.78075
245,1,37496.48217,38648.93992,146.42627,437.44445,8.18171,0.92283,11.07469
246,1,37660.06645,46765.80278,147.01274,281.08442,9.07656,1.76668,15.9652
247,1,37938.88599,16950.5377,151.90777,176.2888,6.03104,0.71194,18.52854
248,1,38157.97469,55927.34295,194.28025,201.98308,7.65009,0.46276,21.31911
249,1,38487.78896,72475.59228,233.07064,261.3444,5.49731,1.91726,30.86566
250,1,38540.48008,33742.92485,168.70905,236.61862,8.66569,1.12822,18.86138
251,1,38636.78448,17779.36598,138.45799,348.23817,6.90188,0.65578,11.50084
252,1,38638.48308,20987.4523,160.11802,434.56857,7.26267,0.68979,11.88973
