"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
53,1,8018.88607,63074.92178,148.85052,353.00899,10.34449,0.61169,12.22726
54,1,8108.13418,74347.94972,151.74322,180.25398,8.20286,0.43311,17.43885
55,1,8249.55672,31755.82538,140.46395,478.48142,9.36133,1.31018,10.49086
56,1,8400.77881,19572.94226,136.89528,250.99875,8.28717,0.89579,13.99421
57,1,8422.27282,59234.62133,165.01461,220.93107,12.25593,1.05745,18.92519
58,1,8576.68394,48901.52717,134.19705,489.44038,17.38113,8.72437,19.11899
59,1,8869.01272,12358.54874,144.92607,223.24294,7.12418,0.59187,15.18911
60,1,8802.10634,35284.1089,153.7601,352.89138,9.25466,0.65194,12.70172
61,1,8934.41308,48715.58171,339.92369,1019.40591,8.99546,9.40009,51.71306
62,1,9480.335,2764.9103,149.7922,165.46469,5.73199,0.8157,19.27166
63,1,9694.95909,59515.76751,150.79492,461.60206,11.54684,0.86472,11.02048
64,1,9755.73384,67417.2492,190.61767,267.3905,10.17042,0.55611,18.233
65,1,9885.1585,18171.01201,155.93102,565.78697,9.87481,1.71817,11.12604
66,1,10194.37779,44768.31828,148.1895,840.51434,12.11751,2.19722,8.6969
67,1,10348.83391,14860.55431,156.67769,868.03011,10.40461,2.73694,9.50145
68,1,10631.73425,64356.4319,148.9,292.6021,9.10368,0.54924,13.42185
69,1,11518.75773,69943.11748,157.26788,478.5431,10.15225,1.27815,11.80887
70,1,11645.52512,7736.44402,138.96869,229.07655,8.55999,3.02206,20.30414
71,1,11548.94239,9247.3314,141.59468,224.90197,7.63453,1.02869,15.73207
72,1,11536.14142,58315.06265,186.15101,555.69007,13.59156,1.11862,12.80392
73,1,11527.80217,73914.74934,170.56571,1075.16382,14.99348,2.08388,8.73017
74,1,11902.11095,20139.28893,143.96121,289.51075,8.47051,0.82328,13.49931
75,1,12083.66954,51584.6754,180.47059,223.96974,10.40673,0.61781,19.17178
76,1,12301.09234,7922.4182,121.27856,186.44482,11.37725,5.22105,26.05645
77,1,12364.61536,46212.44956,172.27024,200.32518,9.63074,0.44201,18.80427
78,1,12635.50632,18315.44102,142.57472,273.89974,8.78653,0.69008,13.5438
79,1,12598.4783,55432.62602,184.89308,447.41163,12.52777,1.16509,14.47218
80,1,12776.34959,34714.4321,167.69323,287.16243,8.74051,0.73785,15.74545
81,1,12640.88238,70503.71781,186.98435,196.489,10.52639,0.75192,22.02352
82,1,12771.59455,75314.7617,154.05391,257.31043,11.54131,0.79295,15.41639
83,1,13089.25242,74216.46368,156.1317,408.87749,13.27485,0.94005,12.31934
84,1,13494.97866,59281.1471,148.40283,385.95473,11.40977,0.84259,11.92349
85,1,13881.05211,53020.8723,148.54603,646.17606,12.32989,1.48373,9.55235
86,1,13987.14991,42783.60162,140.86645,338.34937,9.39788,0.87853,12.19066
87,1,14121.62486,19379.81174,139.56059,506.32557,10.69332,1.67349,10.45309
88,1,14227.92185,34602.77477,153.71868,433.72733,9.7546,0.89925,11.67631
89,1,14290.96405,50340.38483,143.55049,391.99639,11.21627,0.98827,11.60515
90,1,14717.8168,16256.24044,140.96146,287.67167,9.42478,1.23838,13.97851
91,1,14663.98087,78527.21708,186.03586,157.72427,9.01203,0.38272,22.91574
92,1,15044.44628,74035.71996,216.7043,227.12603,10.84818,1.13216,26.00455
93,1,15112.79016,27689.08588,155.99908,518.27169,10.17888,1.11553,10.99735
94,1,15068.92629,73050.84888,188.34853,506.1196,14.83595,1.26797,13.9434
